2026-05-08 07:26:08 | INFO     | ========================================================================
2026-05-08 07:26:08 | INFO     | PATENT DATA PIPELINE — STARTUP
2026-05-08 07:26:08 | INFO     | ========================================================================
2026-05-08 07:26:08 | INFO     | Timestamp   : 2026-05-08 07:26:08
2026-05-08 07:26:08 | INFO     | OS          : Windows 11 (10.0.22631)
2026-05-08 07:26:08 | INFO     | Machine     : AMD64
2026-05-08 07:26:08 | INFO     | CPU         : Intel64 Family 6 Model 78 Stepping 3, GenuineIntel
2026-05-08 07:26:08 | INFO     | CPU Cores   : 2 physical / 4 logical
2026-05-08 07:26:08 | INFO     | Total RAM   : 25.64 GB
2026-05-08 07:26:08 | INFO     | Available   : 15.19 GB
2026-05-08 07:26:08 | INFO     | Python      : 3.13.7
2026-05-08 07:26:08 | INFO     | ========================================================================
2026-05-08 07:26:08 | INFO     | Connecting to: localhost:5111/patents
2026-05-08 07:26:08 | INFO     | Database connection established
2026-05-08 07:26:08 | INFO     | Applying schema.sql ...
2026-05-08 07:26:11 | INFO     |   ✓ schema.sql applied — all tables dropped and recreated

2026-05-08 07:26:11 | INFO     | [1/4] Reading clean_patents.csv ...
2026-05-08 07:30:09 | INFO     |       Read 9,454,161 rows | columns: ['patent_id', 'title', 'abstract', 'filing_date', 'year']
2026-05-08 07:30:09 | INFO     |   Loading 'patents': 9,454,161 rows | 946 chunks × 10,000
2026-05-08 07:30:17 | INFO     |     [patents] chunk    1/946 | rows         1–   10,000 |  7.97s | CPU  23.1% | RAM  60.5%
2026-05-08 07:30:25 | INFO     |     [patents] chunk    2/946 | rows    10,001–   20,000 |  7.44s | CPU  13.3% | RAM  59.9%
2026-05-08 07:30:31 | INFO     |     [patents] chunk    3/946 | rows    20,001–   30,000 |  6.01s | CPU   0.0% | RAM  59.8%
2026-05-08 07:30:38 | INFO     |     [patents] chunk    4/946 | rows    30,001–   40,000 |  6.58s | CPU   8.3% | RAM  59.8%
2026-05-08 07:30:44 | INFO     |     [patents] chunk    5/946 | rows    40,001–   50,000 |  6.29s | CPU   0.0% | RAM  59.7%
2026-05-08 07:30:51 | INFO     |     [patents] chunk    6/946 | rows    50,001–   60,000 |  6.46s | CPU   0.0% | RAM  59.7%
2026-05-08 07:30:57 | INFO     |     [patents] chunk    7/946 | rows    60,001–   70,000 |  6.56s | CPU   0.0% | RAM  59.7%
2026-05-08 07:31:04 | INFO     |     [patents] chunk    8/946 | rows    70,001–   80,000 |  6.33s | CPU   0.0% | RAM  59.7%
2026-05-08 07:31:10 | INFO     |     [patents] chunk    9/946 | rows    80,001–   90,000 |  6.48s | CPU   0.0% | RAM  59.6%
2026-05-08 07:31:18 | INFO     |     [patents] chunk   10/946 | rows    90,001–  100,000 |  7.78s | CPU   0.0% | RAM  60.7%
2026-05-08 07:31:24 | INFO     |     [patents] chunk   11/946 | rows   100,001–  110,000 |  6.39s | CPU   0.0% | RAM  60.5%
2026-05-08 07:31:31 | INFO     |     [patents] chunk   12/946 | rows   110,001–  120,000 |  6.19s | CPU  38.5% | RAM  60.4%
2026-05-08 07:31:37 | INFO     |     [patents] chunk   13/946 | rows   120,001–  130,000 |  6.71s | CPU   8.3% | RAM  60.4%
2026-05-08 07:31:45 | INFO     |     [patents] chunk   14/946 | rows   130,001–  140,000 |  7.27s | CPU  16.7% | RAM  60.5%
2026-05-08 07:31:51 | INFO     |     [patents] chunk   15/946 | rows   140,001–  150,000 |  6.33s | CPU   0.0% | RAM  60.5%
2026-05-08 07:31:59 | INFO     |     [patents] chunk   16/946 | rows   150,001–  160,000 |  7.67s | CPU   7.7% | RAM  57.9%
2026-05-08 07:32:07 | INFO     |     [patents] chunk   17/946 | rows   160,001–  170,000 |  7.81s | CPU   7.7% | RAM  55.7%
2026-05-08 07:32:13 | INFO     |     [patents] chunk   18/946 | rows   170,001–  180,000 |  6.08s | CPU   0.0% | RAM  55.7%
2026-05-08 07:32:20 | INFO     |     [patents] chunk   19/946 | rows   180,001–  190,000 |  6.74s | CPU   0.0% | RAM  55.9%
2026-05-08 07:32:26 | INFO     |     [patents] chunk   20/946 | rows   190,001–  200,000 |  6.61s | CPU   0.0% | RAM  56.3%
2026-05-08 07:32:33 | INFO     |     [patents] chunk   21/946 | rows   200,001–  210,000 |  6.18s | CPU   0.0% | RAM  56.2%
2026-05-08 07:32:39 | INFO     |     [patents] chunk   22/946 | rows   210,001–  220,000 |  6.37s | CPU   0.0% | RAM  56.1%
2026-05-08 07:32:46 | INFO     |     [patents] chunk   23/946 | rows   220,001–  230,000 |  7.05s | CPU   8.3% | RAM  56.5%
2026-05-08 07:32:53 | INFO     |     [patents] chunk   24/946 | rows   230,001–  240,000 |  6.46s | CPU   0.0% | RAM  56.3%
2026-05-08 07:32:59 | INFO     |     [patents] chunk   25/946 | rows   240,001–  250,000 |  6.43s | CPU   0.0% | RAM  56.0%
2026-05-08 07:33:06 | INFO     |     [patents] chunk   26/946 | rows   250,001–  260,000 |  6.68s | CPU   0.0% | RAM  56.6%
2026-05-08 07:33:12 | INFO     |     [patents] chunk   27/946 | rows   260,001–  270,000 |  6.29s | CPU   0.0% | RAM  56.7%
2026-05-08 07:33:19 | INFO     |     [patents] chunk   28/946 | rows   270,001–  280,000 |  6.48s | CPU   0.0% | RAM  56.8%
2026-05-08 07:33:25 | INFO     |     [patents] chunk   29/946 | rows   280,001–  290,000 |  6.51s | CPU  16.7% | RAM  56.7%
2026-05-08 07:33:32 | INFO     |     [patents] chunk   30/946 | rows   290,001–  300,000 |  6.09s | CPU   0.0% | RAM  56.7%
2026-05-08 07:33:38 | INFO     |     [patents] chunk   31/946 | rows   300,001–  310,000 |  6.51s | CPU   0.0% | RAM  56.6%
2026-05-08 07:33:44 | INFO     |     [patents] chunk   32/946 | rows   310,001–  320,000 |  6.28s | CPU  16.7% | RAM  56.7%
2026-05-08 07:33:51 | INFO     |     [patents] chunk   33/946 | rows   320,001–  330,000 |  6.95s | CPU  25.0% | RAM  57.2%
2026-05-08 07:33:58 | INFO     |     [patents] chunk   34/946 | rows   330,001–  340,000 |  6.89s | CPU   0.0% | RAM  57.0%
2026-05-08 07:34:05 | INFO     |     [patents] chunk   35/946 | rows   340,001–  350,000 |  6.24s | CPU   0.0% | RAM  57.0%
2026-05-08 07:34:11 | INFO     |     [patents] chunk   36/946 | rows   350,001–  360,000 |  6.45s | CPU   0.0% | RAM  56.5%
2026-05-08 07:34:18 | INFO     |     [patents] chunk   37/946 | rows   360,001–  370,000 |  6.44s | CPU  60.0% | RAM  56.7%
2026-05-08 07:34:24 | INFO     |     [patents] chunk   38/946 | rows   370,001–  380,000 |  6.44s | CPU   0.0% | RAM  57.0%
2026-05-08 07:34:31 | INFO     |     [patents] chunk   39/946 | rows   380,001–  390,000 |  6.88s | CPU   0.0% | RAM  57.2%
2026-05-08 07:34:37 | INFO     |     [patents] chunk   40/946 | rows   390,001–  400,000 |  6.29s | CPU   0.0% | RAM  56.9%
2026-05-08 07:34:44 | INFO     |     [patents] chunk   41/946 | rows   400,001–  410,000 |  6.36s | CPU   0.0% | RAM  57.2%
2026-05-08 07:34:51 | INFO     |     [patents] chunk   42/946 | rows   410,001–  420,000 |  6.61s | CPU 100.0% | RAM  57.5%
2026-05-08 07:34:58 | INFO     |     [patents] chunk   43/946 | rows   420,001–  430,000 |  7.03s | CPU   0.0% | RAM  57.5%
2026-05-08 07:35:04 | INFO     |     [patents] chunk   44/946 | rows   430,001–  440,000 |  6.48s | CPU   0.0% | RAM  57.5%
2026-05-08 07:35:11 | INFO     |     [patents] chunk   45/946 | rows   440,001–  450,000 |  6.26s | CPU   0.0% | RAM  57.5%
